produto;descrição;qut;precro_bruto;prateleira
153754; ANEL ORING RESFRIADOR RADIADOR ÓLEO TROCADOR CALO;0,;53,25;
15153318ML; JTA CABE AÇO INOX 0,70MM  BMW X1 118I 218I MINI C;0,;414,50;
15153317ML; JTA CABE AÇO INOX 0.70MM BMW 120I 125I 135I 320I ;0,;346,90;
15156807ML; JTA CABE AÇO INOX SUZUKI S-CROSS VITARA MTR TURBO;0,;394,04;
144010049; KIT SELO METAL FIAT IDEA MOBI PALIO STRADA UNO MT;0,;65,06;
15158601ML1;,JTA CABE ACO INOX 0.75MM RENAULT LOGAN SANDERO KW;6,;361,04;E15_E.7
141515PK;,JTA CABE BASPACK 87.0MM FIAT PALIO SIENA BRAVA 1.;20,;67,56;14_A.7
21557;0W20 SN SINTETICO RADNAQ 30D;0,;42,86;
10242;0W50 SL DRAGON 20D;24,;28,57;
20393;10W40 SN SINTETICO RADNAQ 30D;0,;42,86;
15205607ML;15205013ML JTA COL ESCAP TOYOTA ETIOS MTR 2NR-FE D;4,;49,73;
15205013ML;15205607ML JTA COL ESCAP TOYOTA ETIOS MTR 2NR-FE D;4,;86,71;COL-15_G.3
15208001MLU;15208001ML UNIDADE;0,;67,92;
20W50-AN-299;20W50 SL MINERAL;96,;31,15;
ITAU LOJA;395757;0,;61,72;
MG029;556 - MANG FILTRO AR GM 1.0 CORSA CLASSIC/CELTA/PR;0,;82,19;
421701;ADAPTADOR ALUMINIO INJ ELET GM KADETT MONZA IPANEM;0,;126,85;
132110350;ADAPTADOR COL ADM FORD FIESTA KA COURIER ENDURA NA;0,;76,41;
352608;AG BOIA CARB ASIA TOWNER;0,;67,77;
322610;AG BOIA CARB GM JEEP PICK-UP VERANEIO ALC;0,;26,09;
322607;AG BOIA CARB SOLEX 160 35 ALFA GM MONZA 1.6 1.8 AL;0,;28,18;
312610;AG BOIA CARB SOLEX 30 34 BLFA GM MONZA 1.8 ALC;0,;26,87;
312607;AG BOIA CARB SOLEX 30 34 BLFA GM MONZA FORD CORCEL;0,;41,11;
312601;AG BOIA CARB SOLEX 30 PIC CALIB 1.51 VW FUSCAO BR;9,;33,75;SEL-2
